FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Ca_s,RL_Ch_m,RL_Ch_s,RL_Cm_n,RL_Ca_n,RL_Ch_n,Node_den
76,13.354,3.76946851597052,13.073,2.45340379680765,16.067,3.30021247837204,12.987,12.987,26.146,32.134,25.974,1.88137866856894
77,12.0063571428571,1.22469395292847,12.027625,1.21542626077043,15.51125,3.13743496915645,11.712125,11.712125,96.221,124.09,93.697,7.86488245132153
78,12.7389696969697,1.51560099014522,12.3216666666667,1.0748668159383,15.6429166666667,3.09405827904618,12.1115,12.1115,147.86,187.715,145.338,11.2228440685305
79,13.1621361344538,1.78876361864483,12.1982857142857,1.41214881890533,16.0089714285714,2.99674796724642,7.47128571428572,7.47128571428572,426.939999999999,560.314,261.495,20.9970750344199
80,11.6364834087481,2.23333010974181,11.1127307692308,2.17433462079169,16.1635769230769,3.09826566394567,4.49421153846154,4.49421153846154,577.862000000001,840.506,233.699,37.4203178505338
81,14.9530683760684,4.96919215974816,10.6590740740741,2.45787303801673,17.7141851851852,3.67951895297396,8.49477777777777,8.49477777777777,287.795,478.283,229.359,32.1837611502977
82,12.1420955882353,0.882879210628492,10.9564117647059,0.609785770937061,15.5157647058824,3.1105938420349,11.760705882353,11.760705882353,186.259,263.768,199.932,13.4196864261704
83,11.9046277056277,1.44840462382147,11.3301363636364,1.26823256928696,15.6982727272727,3.07078641801947,11.4220909090909,11.4220909090909,249.263,345.362,251.286,13.4030356328243
84,63.7798444444444,4.38380737216087,38.2291,2.60943141743988,41.6524,3.55195025170547,37.4828,37.4828,382.291,416.524,374.828,9.37884378445072
86,17.4256548780488,5.46440192817829,14.0089024390244,3.73102434426125,18.7909756097561,3.61457684392581,11.9224146341464,11.9224146341464,574.365,770.429999999999,488.819000000001,21.4172097375698
87,10.3541263157895,3.47025916778563,11.34845,2.78268007609677,16.1647,2.96378270423422,8.19044999999999,8.19044999999999,226.969,323.294,163.809,6.38738093625069
88,18.3948656126482,6.54119836649354,10.8590869565217,3.75819420487108,19.3868260869565,4.00312676200042,14.0627391304348,14.0627391304348,249.759,445.897,323.443,7.74305368989985
89,38.0839761904762,3.19467281736856,23.2093333333333,2.27577162074826,28.8667619047619,2.9875969781679,22.0321428571428,22.0321428571428,487.396,606.201999999999,462.675,16.2059351080371
90,8.67701515151518,1.70366439725816,7.52158333333334,1.28990609723504,14.4105833333333,2.6702481462708,6.0215,6.0215,90.259,172.927,72.258,16.6466665408963
91,8.74842645074224,3.05616597967373,7.1821794871795,2.44564814591771,14.7885897435897,2.59621468976098,8.27323076923077,8.27323076923077,280.105,576.754999999999,322.656,43.0169663904088
92,9.44557142857142,1.99849144405278,8.61123809523809,1.76362385681793,14.5865714285714,2.58019264287503,8.86404761904762,8.86404761904762,180.836,306.318,186.145,45.9701409788498
93,5.95610476190477,2.67152207419553,5.26819999999999,2.46291002614956,14.4294,2.61758681500106,6.59353333333333,6.59353333333333,79.0229999999998,216.441,98.9029999999999,25.9521860252122
94,6.44111688311688,2.70226061986866,3.95918181818182,1.75470785390193,14.6818636363636,2.588259153759,5.77995454545455,5.77995454545455,87.102,323.001,127.159,32.8792763071602
95,5.12431428571427,4.12173487999419,2.64785714285717,1.86953517531741,18.0650476190476,6.3931544282713,2.59376190476189,2.59376190476189,55.6050000000005,379.366,54.4689999999998,73.5443215703381
96,6.78097777777778,3.35054631469644,2.475,1.17716568603817,14.7098611111111,2.61035092817684,6.00527777777778,6.00527777777778,89.1,529.554999999999,216.19,41.1886439616289
97,5.1083,2.10451659534919,4.4794,1.51280673723521,14.3114,2.6837347992066,3.55799999999997,3.55799999999997,22.397,71.557,17.7899999999998,15.4941188782659
98,6.30983333333332,1.68608242897275,6.71025,2.07359162317938,14.33,2.67610005633412,6.82875,6.82875,26.841,57.32,27.315,15.4904929469835
99,8.6875816993464,1.52980798139001,8.4567777777778,1.44201981164843,14.3791111111111,2.63018001919129,8.63844444444446,8.63844444444446,152.222,258.824,155.492,13.5920769244849
100,6.4547292929293,1.71317757472445,5.38871111111111,1.35509252463373,14.3617555555556,2.64272715227457,5.60342222222222,5.60342222222222,242.492,646.279,252.154,30.473315574816
101,11.6068285714286,2.01286100585199,10.2486857142857,1.28716488199198,14.9616285714286,2.61658826865004,10.2923142857143,10.2923142857143,358.704,523.656999999999,360.231,24.7503576361567
102,11.4307268817204,1.89757478274934,10.2924193548387,1.42959604906068,14.6919032258065,2.50898466637109,9.78764516129033,9.78764516129033,319.065,455.449,303.417,30.2844198313608
103,8.05507977207977,2.39964159536262,6.55518518518519,2.01873147934588,14.4572592592593,2.59140178572658,7.26107407407407,7.26107407407407,176.99,390.346,196.049,14.4717830619134
104,11.6597417067033,0.636446829010314,11.1543829787234,0.496527356578162,14.4873191489362,2.49427723436357,11.1399042553191,11.1399042553191,1048.512,1361.808,1047.151,30.5839068905571
105,18.4655538064517,1.45718766480021,11.732336,1.05737897151087,18.620104,2.55334224141336,12.708632,12.708632,1466.542,2327.513,1588.579,28.4719665779405
106,10.62832,1.95464347070929,10.44944,1.71938965542636,14.63408,2.73501189095105,8.15307999999998,8.15307999999998,261.236,365.852,203.827,4.80560124301331
107,10.2521273224044,3.55706855547179,7.34047540983607,3.31558692274949,15.0604262295082,2.72199810176893,10.0239836065574,10.0239836065574,447.769,918.686000000001,611.463000000001,40.1602327867832
108,12.2109370823782,1.87469342654236,10.5974433497537,1.24964851663387,14.8774285714286,2.59732736755642,9.99329556650245,9.99329556650245,2151.281,3020.118,2028.639,23.8972898364503
109,7.81477071990321,2.35824959360946,5.27474137931035,1.59062278567362,14.6143448275862,2.61645460687903,5.81720689655173,5.81720689655173,305.935,847.631999999999,337.398,35.9457286508639
110,5.98680911680913,3.67996628345771,2.05814814814814,1.26016457803532,14.485037037037,2.64458223400625,2.8692962962963,2.8692962962963,55.5699999999999,391.096,77.471,24.5608707692495
111,9.35048058441559,2.48419732279686,5.14619318181818,1.3153165293657,15.0092670454546,2.52980013951564,6.5678409090909,6.5678409090909,905.73,2641.631,1155.94,53.9826359885799
112,5.76546317907445,2.41835853327533,3.20812676056338,1.04855798986382,14.4105915492958,2.62273189291887,5.47977464788732,5.47977464788732,227.777,1023.152,389.064,55.99020674234
113,5.93278195488722,1.7634515303577,4.25484210526316,1.03041989412191,14.3699473684211,2.64241343244158,5.52940350877192,5.52940350877192,242.526,819.087,315.176,45.4628710171836
114,9.30665811965813,0.663920593294559,8.48044444444442,0.649174252782118,14.3099259259259,2.6688512330361,5.71485185185185,5.71485185185185,228.971999999999,386.368,154.301,49.306621047692
115,9.31052615384617,0.753384840434878,8.73996153846152,0.675025645913096,14.3198461538462,2.65895146601782,8.71026923076921,8.71026923076921,227.238999999999,372.316,226.466999999999,45.0985024511646
116,7.58547619047619,1.90962245983814,6.71657142857142,1.33903408380209,14.4378571428571,2.65510753541096,6.81185714285713,6.81185714285713,47.0159999999999,101.065,47.6829999999999,18.5028362998623
117,39.3547854381443,7.5739179607651,24.7001030927835,4.21304877175562,29.0980824742268,4.70582318092995,23.1282680412371,23.1282680412371,2395.91,2822.514,2243.442,47.6936834593763
118,9.109,0.911179767277673,8.99257142857146,0.852042789824081,14.3275714285714,2.66178673044897,8.99914285714288,8.99914285714288,62.9480000000002,100.293,62.9940000000002,45.3046675158749
119,9.82220512820511,0.448529364500939,9.44899999999997,0.410273958679899,14.3054615384615,2.66101244896105,9.44138461538458,9.44138461538458,122.837,185.971,122.738,44.911725858865
120,7.92800000000004,1.64757918894677,8.18416666666666,1.85952844573158,14.3846666666667,2.67450225193942,8.25266666666667,8.25266666666667,49.105,86.308,49.516,17.1953319648715
121,7.971,0.616878869422141,7.921,0.860522805914807,14.2785,2.68978115702238,7.927,7.927,15.842,28.557,15.854,8.91940403806416
122,6.93075757575755,1.77529248135066,6.94191666666668,1.69000425597646,14.3355,2.66709065594168,7.092,7.092,83.3030000000001,172.026,85.104,18.1068261293841
123,7.57599999999994,1.2729769521326,7.342,1.12608132974578,14.3124285714286,2.66705745359318,7.36371428571428,7.36371428571428,51.394,100.187,51.546,17.4097053752341
